Name,Role,Team,Type,Price
Anrich Nortje,Bowler,LSG,Overseas,10 L
Wanindu Hasaranga,All-rounder,LSG,Overseas,10 L
Mukul Choudhary,Wicketkeeper,LSG,Indian,10 L
Naman Tiwari,All-rounder,LSG,Indian,10 L
Akshat Raghuvanshi,Batter,LSG,Indian,10 L
Josh Inglis,Batter,LSG,Overseas,10 L
Rohit Sharma,Batter,MI,Indian,1 CR
Surya Kumar Yadav,Batter,MI,Indian,5 CR
Robin Minz,Wicketkeeper,MI,Indian,10 L
Ryan Rickelton,Wicketkeeper,MI,Overseas,1 CR
Tilak Varma,Batter,MI,Indian,5 CR
Hardik Pandya,All-rounder,MI,Indian,5 CR
Naman Dhir,All-rounder,MI,Indian,10 L
Mitchell Santner,All-rounder,MI,Overseas,10 L
Will Jacks,All-rounder,MI,Overseas,10 L
Corbin Bosch,All-rounder,MI,Overseas,10 L
Raj Bawa,All-rounder,MI,Indian,10 L
Trent Boult,Bowler,MI,Overseas,1 CR
Jasprit Bumrah,Bowler,MI,Indian,5 CR
Deepak Chahar,Bowler,MI,Indian,1 CR
Ashwani Kumar,Bowler,MI,Indian,10 L
Raghu Sharma,Bowler,MI,Indian,10 L
Allah Ghazanfar,Bowler,MI,Overseas,10 L
Mayank Markande,Bowler,MI,Indian,10 L
Shardul Thakur,All-rounder,MI,Indian,10 L
Sherfane Rutherford,Batter,MI,Overseas,10 L
Quinton De Kock,Wicketkeeper,MI,Overseas,10 L
Atharva Ankolekar,All-rounder,MI,Indian,10 L
Mohammad Izhar,Bowler,MI,Indian,10 L
Danish Malewar,Batter,MI,Indian,10 L
Mayank Rawat,All-rounder,MI,Indian,10 L
Shreyas Iyer,Batter,PBKS,Indian,5 CR
Nehal Wadhera,Batter,PBKS,Indian,10 L
Vishnu Vinod,Wicketkeeper,PBKS,Indian,10 L
Harnoor Pannu,Batter,PBKS,Indian,10 L
Pyla Avinash,Batter,PBKS,Indian,10 L
Prabhsimran Singh,Wicketkeeper,PBKS,Indian,1 CR
Shashank Singh,Batter,PBKS,Indian,10 L
Marcus Stoinis,All-rounder,PBKS,Overseas,10 L
Harpreet Brar,All-rounder,PBKS,Indian,10 L
Marco Jansen,All-rounder,PBKS,Overseas,1 CR
Azmatullah Omarzai,All-rounder,PBKS,Overseas,10 L
Priyansh Arya,All-rounder,PBKS,Indian,1 CR
Musheer Khan,All-rounder,PBKS,Indian,10 L
Suryansh Shedge,All-rounder,PBKS,Indian,10 L
Mitch Owen,All-rounder,PBKS,Overseas,10 L
Arshdeep Singh,Bowler,PBKS,Indian,5 CR
Yuzvendra Chahal,Bowler,PBKS,Indian,1 CR
Vyshak Vijaykumar,Bowler,PBKS,Indian,10 L
Yash Thakur,Bowler,PBKS,Indian,10 L
Xavier Bartlett,Bowler,PBKS,Overseas,10 L
Lockie Ferguson,Bowler,PBKS,Overseas,10 L
Cooper Connolly,All-rounder,PBKS,Overseas,10 L
Ben Dwarshuis,All-rounder,PBKS,Overseas,10 L
Vishal Nishad,Bowler,PBKS,Indian,10 L
Pravin Dubey,Bowler,PBKS,Indian,10 L
Shubham Dubey,Batter,RR,Indian,10 L
Vaibhav Suryavanshi,Batter,RR,Indian,1 CR
Lhuan-dre Pretorius,Batter,RR,Overseas,10 L
Shimron Hetmyer,Batter,RR,Overseas,10 L
Yashasvi Jaiswal,Batter,RR,Indian,5 CR
Dhruv Jurel,Wicketkeeper,RR,Indian,1 CR
Riyan Parag,Batter,RR,Indian,5 CR
Yudhvir Singh Charak,All-rounder,RR,Indian,10 L
Jofra Archer,Bowler,RR,Overseas,1 CR
Tushar Deshpande,Bowler,RR,Indian,10 L
Sandeep Sharma,Bowler,RR,Indian,10 L
Kwena Maphaka,Bowler,RR,Overseas,10 L
Nandre Burger,Bowler,RR,Overseas,10 L
Ravindra Jadeja,All-rounder,RR,Indian,1 CR
Sam Curran,All-rounder,RR,Overseas,1 CR
Donovan Ferreira,Wicketkeeper,RR,Overseas,10 L
Ravi Bishnoi,Bowler,RR,Indian,1 CR
Sushant Mishra,Bowler,RR,Indian,10 L
Vignesh Puthur,Bowler,RR,Indian,10 L
Yash Raj Punja,Bowler,RR,Indian,10 L
Ravi Singh,Wicketkeeper,RR,Indian,10 L
Brijesh Sharma,Bowler,RR,Indian,10 L
Aman Rao,Batter,RR,Indian,10 L
Adam Milne,Bowler,RR,Overseas,10 L
Kuldeep Sen,Bowler,RR,Indian,10 L
Rajat Patidar,Batter,RCB,Indian,5 CR
Virat Kohli,Batter,RCB,Indian,5 CR
Tim David,All-rounder,RCB,Overseas,1 CR
Devdutt Padikkal,Batter,RCB,Indian,1 CR
Phil Salt,Wicketkeeper,RCB,Overseas,1 CR
Jitesh Sharma,Wicketkeeper,RCB,Indian,1 CR
Krunal Pandya,All-rounder,RCB,Indian,1 CR
Jacob Bethell,All-rounder,RCB,Overseas,1 CR
Romario Shepherd,All-rounder,RCB,Overseas,10 L
Swapnil Singh,All-rounder,RCB,Indian,10 L
Josh Hazlewood,Bowler,RCB,Overseas,5 CR
Bhuvneshwar Kumar,Bowler,RCB,Indian,1 CR
Rasikh Salam,Bowler,RCB,Indian,10 L
Yash Dayal,Bowler,RCB,Indian,10 L
Suyash Sharma,Bowler,RCB,Indian,10 L
Nuwan Thushara,Bowler,RCB,Overseas,10 L
Abhinandan Singh,Bowler,RCB,Indian,10 L
Venkatesh Iyer,All-rounder,RCB,Indian,1 CR
Jacob Duffy,Bowler,RCB,Overseas,10 L
Mangesh Yadav,All-rounder,RCB,Indian,10 L
Satvik Deswal,All-rounder,RCB,Indian,10 L
Jordan Cox,Batter,RCB,Overseas,10 L
Kanishk Chouhan,All-rounder,RCB,Indian,10 L
Vihaan Malhotra,All-rounder,RCB,Indian,10 L
Vicky Ostwal,All-rounder,RCB,Indian,10 L
Travis Head,Batter,SRH,Overseas,5 CR
Abhishek Sharma,All-rounder,SRH,Indian,5 CR
Aniket Verma,Batter,SRH,Indian,10 L
R Smaran,Batter,SRH,Indian,10 L
Ishan Kishan,Wicketkeeper,SRH,Indian,5 CR
Heinrich Klaasen,Wicketkeeper,SRH,Overseas,1 CR
Nitish Kumar Reddy,All-rounder,SRH,Indian,1 CR
Harsh Dubey,All-rounder,SRH,Indian,10 L
Kamindu Mendis,All-rounder,SRH,Overseas,10 L
Harshal Patel,All-rounder,SRH,Indian,1 CR
Brydon Carse,All-rounder,SRH,Overseas,10 L
Pat Cummins,Bowler,SRH,Overseas,5 CR
Jaydev Unadkat,Bowler,SRH,Indian,10 L
Eshan Malinga,Bowler,SRH,Overseas,10 L
Zeeshan Ansari,Bowler,SRH,Indian,10 L
Shivang Kumar,All-rounder,SRH,Indian,10 L
Salil Arora,Wicketkeeper,SRH,Indian,10 L
Krains Fuletra,Bowler,SRH,Indian,10 L
Praful Hinge,Bowler,SRH,Indian,10 L
Amit Kumar,Bowler,SRH,Indian,10 L
Onkar Tarmale,Bowler,SRH,Indian,10 L
Sakib Hussain,Bowler,SRH,Indian,10 L
Liam Livingstone,All-rounder,SRH,Overseas,1 CR
Shivam Mavi,Bowler,SRH,Indian,10 L
Jack Edwards,All-rounder,SRH,Overseas,10 L
